,curve_idx,target,sample_type,sample_id,igi_call,cycle_no,Fn,rn,groundtruth,Igi_call_quant,groundtruth_target
466149,77361,RnaseP,Clinical Sample,S1178227,Positive,45,402866.75,402866.75,1,1,1
466194,77363,RnaseP,Clinical Sample,S1178235,Positive,45,392424.88,392424.875,1,1,1
466239,77367,RnaseP,Clinical Sample,S1178250,Positive,45,428241.56,428241.5625,1,1,1
466284,77346,RnaseP,Clinical Sample,S1178114,Positive,45,480572.97,480572.96875,1,1,1
466329,77348,RnaseP,Clinical Sample,S1178095,Positive,45,325077.03,325077.03125,1,1,1
466374,77350,RnaseP,Clinical Sample,S1178081,Positive,45,426479.22,426479.21875,1,1,1
466419,77352,RnaseP,Clinical Sample,S1178065,Positive,45,379167.8,379167.8125,1,1,1
466464,77354,RnaseP,Clinical Sample,S1178050,Positive,45,498084.34,498084.34375,1,1,1
466509,77357,RnaseP,Clinical Sample,S1178047,Positive,45,406928.34,406928.34375,1,1,1
466554,77359,RnaseP,Clinical Sample,S1178147,Positive,45,329049.53,329049.53125,1,1,1
466599,77392,RnaseP,Clinical Sample,S1178220,Positive,45,560976.9,560976.875,1,1,1
466644,77409,RnaseP,Clinical Sample,S1178228,Positive,45,418507.5,418507.5,1,1,1
466689,77411,RnaseP,Clinical Sample,S1178236,Positive,45,389721.12,389721.125,1,1,1
466734,77413,RnaseP,Clinical Sample,S1178243,Positive,45,403619.0,403619.0,1,1,1
466779,77415,RnaseP,Clinical Sample,S1178251,Positive,45,451066.6,451066.59375,1,1,1
466824,77394,RnaseP,Clinical Sample,S1178115,Positive,45,495271.28,495271.28125,1,1,1
466869,77396,RnaseP,Clinical Sample,S1178092,Positive,45,420792.25,420792.25,1,1,1
466914,77398,RnaseP,Clinical Sample,S1178073,Positive,45,481162.97,481162.96875,1,1,1
466959,77400,RnaseP,Clinical Sample,S1178061,Positive,45,284545.75,284545.75,1,1,1
467004,77402,RnaseP,Clinical Sample,S1178060,Positive,45,476965.78,476965.78125,1,1,1
467049,77405,RnaseP,Clinical Sample,S1178046,Positive,45,408272.9,408272.90625,1,1,1
467094,77407,RnaseP,Clinical Sample,S1178161,Positive,45,380910.66,380910.65625,1,1,1
467139,77440,RnaseP,Clinical Sample,S1178221,Positive,45,401213.5,401213.5,1,1,1
467184,77457,RnaseP,Clinical Sample,S1178229,Positive,45,384734.97,384734.96875,1,1,1
467229,77459,RnaseP,Clinical Sample,S1178237,Positive,45,404724.72,404724.71875,1,1,1
467274,77461,RnaseP,Clinical Sample,S1178244,Positive,45,427311.8,427311.8125,1,1,1
467319,77463,RnaseP,Clinical Sample,S1178252,Positive,45,346319.6,346319.59375,1,1,1
467364,77442,RnaseP,Clinical Sample,S1178109,Positive,45,405118.1,405118.09375,1,1,1
467409,77444,RnaseP,Clinical Sample,S1178093,Positive,45,449702.03,449702.03125,1,1,1
467454,77446,RnaseP,Clinical Sample,S1178074,Positive,45,480360.38,480360.375,1,1,1
467499,77448,RnaseP,Clinical Sample,S1178062,Positive,45,483511.84,483511.84375,1,1,1
467544,77450,RnaseP,Clinical Sample,S1178059,Positive,45,435287.12,435287.125,1,1,1
467589,77453,RnaseP,Clinical Sample,S1178168,Positive,45,238529.17,238529.171875,1,1,1
467634,77455,RnaseP,Clinical Sample,S1178162,Positive,45,380628.97,380628.96875,1,1,1
467679,77488,RnaseP,Clinical Sample,S1178222,Positive,45,361325.4,361325.40625,1,1,1
467724,77505,RnaseP,Clinical Sample,S1178230,Positive,45,368294.1,368294.09375,1,1,1
467769,77507,RnaseP,Clinical Sample,S1178238,Positive,45,388293.97,388293.96875,1,1,1
467814,77509,RnaseP,Clinical Sample,S1178245,Positive,45,435772.03,435772.03125,1,1,1
467859,77511,RnaseP,Clinical Sample,S1178253,Positive,45,436748.2,436748.1875,1,1,1
467904,77490,RnaseP,Clinical Sample,S1178110,Positive,45,442808.97,442808.96875,1,1,1
467949,77492,RnaseP,Clinical Sample,S1178094,Positive,45,461431.0,461431.0,1,1,1
467994,77494,RnaseP,Clinical Sample,S1178075,Positive,45,399621.47,399621.46875,1,1,1
468039,77496,RnaseP,Clinical Sample,S1178052,Positive,45,417702.7,417702.6875,1,1,1
468084,77501,RnaseP,Clinical Sample,S1178169,Positive,45,410892.75,410892.75,1,1,1
468129,77536,RnaseP,Clinical Sample,S1178223,Positive,45,193513.5,193513.5,1,1,1
468174,77553,RnaseP,Clinical Sample,S1178231,Positive,45,325681.4,325681.40625,1,1,1
468219,77555,RnaseP,Clinical Sample,S1178239,Positive,45,367445.6,367445.59375,1,1,1
468264,77557,RnaseP,Clinical Sample,S1178246,Positive,45,339310.66,339310.65625,1,1,1
468309,77559,RnaseP,Clinical Sample,S1178118,Positive,45,353258.72,353258.71875,1,1,1
468354,77538,RnaseP,Clinical Sample,S1178102,Positive,45,291071.16,291071.15625,1,1,1
468399,77540,RnaseP,Clinical Sample,S1178085,Positive,45,277482.12,277482.125,1,1,1
468444,77542,RnaseP,Clinical Sample,S1178071,Positive,45,435826.75,435826.75,1,1,1
468489,77544,RnaseP,Clinical Sample,S1178053,Positive,45,477908.4,477908.40625,1,1,1
468534,77546,RnaseP,Clinical Sample,S1178049,Positive,45,420235.4,420235.40625,1,1,1
468579,77549,RnaseP,Clinical Sample,S1178170,Positive,45,416661.7,416661.6875,1,1,1
468624,78352,RnaseP,Clinical Sample,S1170899,Positive,45,322961.84,322961.84375,1,1,1
468669,78369,RnaseP,Clinical Sample,S1171950,Positive,45,341608.06,341608.0625,1,1,1
468714,78371,RnaseP,Clinical Sample,S1171765,Positive,45,299895.22,299895.21875,1,1,1
468759,78373,RnaseP,Clinical Sample,S1171772,Positive,45,314304.78,314304.78125,1,1,1
468804,78375,RnaseP,Clinical Sample,S1171659,Positive,45,372660.7,372660.6875,1,1,1
468849,78354,RnaseP,Clinical Sample,S1171541,Positive,45,372209.66,372209.65625,1,1,1
468894,78356,RnaseP,Clinical Sample,S1171041,Positive,45,354164.88,354164.875,1,1,1
468939,78358,RnaseP,Clinical Sample,S1171710,Positive,45,331343.47,331343.46875,1,1,1
468984,78360,RnaseP,Clinical Sample,S1171548,Positive,45,348148.56,348148.5625,1,1,1
469029,78362,RnaseP,Clinical Sample,S1172094,Positive,45,345914.12,345914.125,1,1,1
469074,78365,RnaseP,Clinical Sample,S1172088,Positive,45,347863.38,347863.375,1,1,1
469119,78367,RnaseP,Clinical Sample,S1171908,Positive,45,271220.38,271220.375,1,1,1
469164,78400,RnaseP,Clinical Sample,S1170892,Positive,45,301851.78,301851.78125,1,1,1
469209,78417,RnaseP,Clinical Sample,S1171939,Positive,45,296411.8,296411.8125,1,1,1
469254,78419,RnaseP,Clinical Sample,S1171757,Positive,45,31028.906,31028.90625,1,1,1
469299,78421,RnaseP,Clinical Sample,S1171283,Negative,45,29334.219,29334.21875,1,0,1
469344,78423,RnaseP,Clinical Sample,S1171670,Positive,45,380645.66,380645.65625,1,1,1
469389,78402,RnaseP,Clinical Sample,S1171557,Positive,45,142945.44,142945.4375,1,1,1
469434,78404,RnaseP,Clinical Sample,S1171294,Positive,45,56288.273,56288.2734375,1,1,1
469479,78406,RnaseP,Clinical Sample,S1171711,Positive,45,389207.97,389207.96875,1,1,1
469524,78408,RnaseP,Clinical Sample,S1171587,Positive,45,267088.25,267088.25,1,1,1
469569,78410,RnaseP,Clinical Sample,S1171298,Positive,45,326184.9,326184.90625,1,1,1
469614,78413,RnaseP,Clinical Sample,S1172082,Positive,45,128102.96,128102.9609375,1,1,1
469659,78415,RnaseP,Clinical Sample,S1171565,Positive,45,283693.8,283693.8125,1,1,1
469704,78448,RnaseP,Clinical Sample,S1170883,Positive,45,325114.97,325114.96875,1,1,1
469749,78465,RnaseP,Clinical Sample,S1171721,Positive,45,262531.97,262531.96875,1,1,1
469794,78467,RnaseP,Clinical Sample,S1171584,Positive,45,366572.06,366572.0625,1,1,1
469839,78469,RnaseP,Clinical Sample,S1171754,Positive,45,44974.89,44974.890625,1,1,1
469884,78471,RnaseP,Clinical Sample,S1171783,Positive,45,422105.7,422105.6875,1,1,1
469929,78450,RnaseP,Clinical Sample,S1172596,Positive,45,372565.72,372565.71875,1,1,1
469974,78452,RnaseP,Clinical Sample,S1171864,Positive,45,368709.2,368709.1875,1,1,1
470019,78454,RnaseP,Clinical Sample,S1171856,Positive,45,309883.34,309883.34375,1,1,1
470064,78456,RnaseP,Clinical Sample,S1171579,Positive,45,354195.06,354195.0625,1,1,1
470109,78458,RnaseP,Clinical Sample,S1171863,Positive,45,348131.4,348131.40625,1,1,1
470154,78461,RnaseP,Clinical Sample,S1171190,Positive,45,73063.13,73063.1328125,1,1,1
470199,78463,RnaseP,Clinical Sample,S1172597,Positive,45,317037.16,317037.15625,1,1,1
470244,78496,RnaseP,Clinical Sample,S1170876,Positive,45,131960.95,131960.953125,1,1,1
470289,78513,RnaseP,Clinical Sample,S1171728,Positive,45,245873.58,245873.578125,1,1,1
470334,78515,RnaseP,Clinical Sample,S1171012,Positive,45,376050.25,376050.25,1,1,1
470379,78519,RnaseP,Clinical Sample,S1171694,Positive,45,376331.25,376331.25,1,1,1
470424,78498,RnaseP,Clinical Sample,S1171036,Positive,45,404923.28,404923.28125,1,1,1
470469,78500,RnaseP,Clinical Sample,S1172006,Positive,45,341347.78,341347.78125,1,1,1
470514,78502,RnaseP,Clinical Sample,S1171287,Positive,45,40490.34,40490.33984375,1,1,1
470559,78504,RnaseP,Clinical Sample,S1171027,Positive,45,362853.3,362853.3125,1,1,1
470604,78506,RnaseP,Clinical Sample,S1171816,Positive,45,362221.12,362221.125,1,1,1
470649,78509,RnaseP,Clinical Sample,S1172012,Positive,45,350656.94,350656.9375,1,1,1
470694,78511,RnaseP,Clinical Sample,S1171572,Positive,45,128481.29,128481.2890625,1,1,1
470739,78544,RnaseP,Clinical Sample,S1170945,Positive,45,302804.5,302804.5,1,1,1
470784,78561,RnaseP,Clinical Sample,S1171745,Positive,45,323374.72,323374.71875,1,1,1
470829,78563,RnaseP,Clinical Sample,S1172021,Positive,45,296484.44,296484.4375,1,1,1
470874,78565,RnaseP,Clinical Sample,S1171759,Positive,45,331433.62,331433.625,1,1,1
470919,78567,RnaseP,Clinical Sample,S1171291,Positive,45,344313.7,344313.6875,1,1,1
470964,78546,RnaseP,Clinical Sample,S1171019,Negative,45,30281.092,30281.091796875,1,0,1
471009,78548,RnaseP,Clinical Sample,S1171698,Positive,45,363538.78,363538.78125,1,1,1
471054,78550,RnaseP,Clinical Sample,S1171303,Positive,45,388817.7,388817.6875,1,1,1
471099,78552,RnaseP,Clinical Sample,S1171877,Positive,45,373796.12,373796.125,1,1,1
471144,78554,RnaseP,Clinical Sample,S1172024,Positive,45,351211.22,351211.21875,1,1,1
471189,78557,RnaseP,Clinical Sample,S1171545,Negative,45,24178.639,24178.638671875,1,0,1
471234,78559,RnaseP,Clinical Sample,S1172598,Positive,45,304301.0,304301.0,1,1,1
471279,78592,RnaseP,Clinical Sample,S1170934,Positive,45,316629.47,316629.46875,1,1,1
471324,78609,RnaseP,Clinical Sample,S1171737,Positive,45,346935.5,346935.5,1,1,1
471369,78611,RnaseP,Clinical Sample,S1172016,Negative,45,24755.885,24755.884765625,1,0,1
471414,78613,RnaseP,Clinical Sample,S1171770,Positive,45,400168.62,400168.625,1,1,1
471459,78615,RnaseP,Clinical Sample,S1171683,Positive,45,244520.72,244520.71875,1,1,1
471504,78594,RnaseP,Clinical Sample,S1171179,Positive,45,382341.7,382341.6875,1,1,1
471549,78596,RnaseP,Clinical Sample,S1171873,Positive,45,365747.44,365747.4375,1,1,1
471594,78598,RnaseP,Clinical Sample,S1171850,Positive,45,47162.38,47162.37890625,1,1,1
471639,78600,RnaseP,Clinical Sample,S1171849,Positive,45,37418.434,37418.43359375,1,1,1
471684,78602,RnaseP,Clinical Sample,S1172009,Positive,45,286155.94,286155.9375,1,1,1
471729,78605,RnaseP,Clinical Sample,S1171528,Positive,45,342142.3,342142.3125,1,1,1
471774,78607,RnaseP,Clinical Sample,S1172101,Positive,45,297773.28,297773.28125,1,1,1
471819,78640,RnaseP,Clinical Sample,S1171966,Positive,45,311544.78,311544.78125,1,1,1
471864,78657,RnaseP,Clinical Sample,S1171164,Positive,45,352443.5,352443.5,1,1,1
471909,78659,RnaseP,Clinical Sample,S1171195,Positive,45,353876.62,353876.625,1,1,1
471954,78661,RnaseP,Clinical Sample,S1171654,Positive,45,311142.75,311142.75,1,1,1
471999,78663,RnaseP,Clinical Sample,S1171695,Positive,45,315629.2,315629.1875,1,1,1
472044,78642,RnaseP,Clinical Sample,S1171687,Positive,45,378108.4,378108.40625,1,1,1
472089,78644,RnaseP,Clinical Sample,S1171874,Positive,45,333861.1,333861.09375,1,1,1
472134,78646,RnaseP,Clinical Sample,S1171160,Positive,45,437133.16,437133.15625,1,1,1
472179,78648,RnaseP,Clinical Sample,S1172070,Positive,45,29228.316,29228.31640625,1,1,1
472224,78653,RnaseP,Clinical Sample,S1171601,Positive,45,356404.62,356404.625,1,1,1
472269,78688,RnaseP,Clinical Sample,S1171963,Positive,45,237773.88,237773.875,1,1,1
472314,78705,RnaseP,Clinical Sample,S1171748,Positive,45,203717.05,203717.046875,1,1,1
472359,78707,RnaseP,Clinical Sample,S1172164,Positive,45,328439.12,328439.125,1,1,1
472404,78709,RnaseP,Clinical Sample,S1171686,Positive,45,258656.05,258656.046875,1,1,1
472449,78711,RnaseP,Clinical Sample,S1171699,Positive,45,341389.53,341389.53125,1,1,1
472494,78690,RnaseP,Clinical Sample,S1172014,Positive,45,368503.38,368503.375,1,1,1
472539,78692,RnaseP,Clinical Sample,S1171866,Positive,45,285586.84,285586.84375,1,1,1
472584,78694,RnaseP,Clinical Sample,S1171897,Positive,45,346367.22,346367.21875,1,1,1
472629,78696,RnaseP,Clinical Sample,S1172167,Positive,45,340041.03,340041.03125,1,1,1
472674,78698,RnaseP,Clinical Sample,S1171533,Positive,45,347687.8,347687.8125,1,1,1
472719,78701,RnaseP,Clinical Sample,S1171881,Positive,45,305167.16,305167.15625,1,1,1
472764,124432,RnaseP,Clinical Sample,S1223508,Positive,45,306983.9,306983.90625,1,1,1
472809,124449,RnaseP,Clinical Sample,S1223516,Positive,45,333706.03,333706.03125,1,1,1
472854,124451,RnaseP,Clinical Sample,S1223460,Positive,45,307143.5,307143.5,1,1,1
472899,124453,RnaseP,Clinical Sample,S1223465,Positive,45,323369.7,323369.6875,1,1,1
472944,124455,RnaseP,Clinical Sample,S1223472,Positive,45,317314.56,317314.5625,1,1,1
472989,124434,RnaseP,Clinical Sample,S1223475,Positive,45,366241.9,366241.90625,1,1,1
473034,124436,RnaseP,Clinical Sample,S1223439,Positive,45,193302.75,193302.75,1,1,1
473079,124438,RnaseP,Clinical Sample,S1223448,Positive,45,353271.44,353271.4375,1,1,1
473124,124440,RnaseP,Clinical Sample,S1222415,Positive,45,311181.9,311181.90625,1,1,1
473169,124442,RnaseP,Clinical Sample,S1221866,Positive,45,346132.8,346132.8125,1,1,1
473214,124445,RnaseP,Clinical Sample,S1223528,Positive,45,333584.44,333584.4375,1,1,1
473259,124447,RnaseP,Clinical Sample,S1223502,Positive,45,295826.94,295826.9375,1,1,1
473304,124480,RnaseP,Clinical Sample,S1223509,Positive,45,356155.25,356155.25,1,1,1
473349,124497,RnaseP,Clinical Sample,S1223517,Positive,45,344557.16,344557.15625,1,1,1
473394,124499,RnaseP,Clinical Sample,S1223459,Positive,45,369302.94,369302.9375,1,1,1
473439,124501,RnaseP,Clinical Sample,S1223466,Positive,45,324389.25,324389.25,1,1,1
473484,124503,RnaseP,Clinical Sample,S1223482,Positive,45,340479.56,340479.5625,1,1,1
473529,124482,RnaseP,Clinical Sample,S1223433,Positive,45,367165.47,367165.46875,1,1,1
473574,124484,RnaseP,Clinical Sample,S1223438,Positive,45,345217.4,345217.40625,1,1,1
473619,124486,RnaseP,Clinical Sample,S1223449,Positive,45,435981.12,435981.125,1,1,1
473664,124488,RnaseP,Clinical Sample,S1222416,Positive,45,329733.34,329733.34375,1,1,1
473709,124490,RnaseP,Clinical Sample,S1221901,Positive,45,378430.0,378430.0,1,1,1
473754,124493,RnaseP,Clinical Sample,S1223505,Positive,45,205041.22,205041.21875,1,1,1
473799,124495,RnaseP,Clinical Sample,S1223501,Positive,45,300116.88,300116.875,1,1,1
473844,124528,RnaseP,Clinical Sample,S1223510,Positive,45,240683.97,240683.96875,1,1,1
473889,124545,RnaseP,Clinical Sample,S1223518,Positive,45,315782.7,315782.6875,1,1,1
473934,124547,RnaseP,Clinical Sample,S1223458,Positive,45,306105.2,306105.1875,1,1,1
473979,124549,RnaseP,Clinical Sample,S1223467,Positive,45,359416.84,359416.84375,1,1,1
474024,124551,RnaseP,Clinical Sample,S1223481,Positive,45,381096.0,381096.0,1,1,1
474069,124530,RnaseP,Clinical Sample,S1223434,Positive,45,361684.75,361684.75,1,1,1
474114,124532,RnaseP,Clinical Sample,S1223437,Positive,45,318777.34,318777.34375,1,1,1
474159,124534,RnaseP,Clinical Sample,S1223450,Positive,45,350457.1,350457.09375,1,1,1
474204,124536,RnaseP,Clinical Sample,S1222417,Positive,45,351732.16,351732.15625,1,1,1
474249,124538,RnaseP,Clinical Sample,S1221859,Positive,45,326799.97,326799.96875,1,1,1
474294,124541,RnaseP,Clinical Sample,S1223504,Positive,45,341551.2,341551.1875,1,1,1
474339,124543,RnaseP,Clinical Sample,S1223500,Positive,45,331161.88,331161.875,1,1,1
474384,124576,RnaseP,Clinical Sample,S1223511,Positive,45,310563.84,310563.84375,1,1,1
474429,124593,RnaseP,Clinical Sample,S1223519,Positive,45,353238.72,353238.71875,1,1,1
474474,124595,RnaseP,Clinical Sample,S1223457,Positive,45,323659.6,323659.59375,1,1,1
474519,124599,RnaseP,Clinical Sample,S1223480,Positive,45,364570.97,364570.96875,1,1,1
474564,124578,RnaseP,Clinical Sample,S1223444,Positive,45,331946.38,331946.375,1,1,1
474609,124580,RnaseP,Clinical Sample,S1223436,Positive,45,361350.1,361350.09375,1,1,1
474654,124582,RnaseP,Clinical Sample,S1223451,Positive,45,371825.38,371825.375,1,1,1
474699,124584,RnaseP,Clinical Sample,S1222418,Positive,45,369980.78,369980.78125,1,1,1
474744,124586,RnaseP,Clinical Sample,S1221865,Positive,45,346846.38,346846.375,1,1,1
474789,124589,RnaseP,Clinical Sample,S1223503,Positive,45,418429.56,418429.5625,1,1,1
474834,124591,RnaseP,Clinical Sample,S1223507,Positive,45,309158.12,309158.125,1,1,1
474879,124624,RnaseP,Clinical Sample,S1223512,Positive,45,313750.5,313750.5,1,1,1
474924,124641,RnaseP,Clinical Sample,S1223520,Positive,45,304027.4,304027.40625,1,1,1
474969,124643,RnaseP,Clinical Sample,S1223456,Positive,45,326788.25,326788.25,1,1,1
475014,124645,RnaseP,Clinical Sample,S1223468,Positive,45,342260.66,342260.65625,1,1,1
475059,124647,RnaseP,Clinical Sample,S1223479,Positive,45,343933.28,343933.28125,1,1,1
475104,124626,RnaseP,Clinical Sample,S1223443,Positive,45,287463.9,287463.90625,1,1,1
475149,124628,RnaseP,Clinical Sample,S1223435,Positive,45,292433.6,292433.59375,1,1,1
475194,124630,RnaseP,Clinical Sample,S1223452,Positive,45,419114.25,419114.25,1,1,1
475239,124632,RnaseP,Clinical Sample,S1222329,Positive,45,367063.0,367063.0,1,1,1
475284,124634,RnaseP,Clinical Sample,S1223525,Positive,45,349921.72,349921.71875,1,1,1
475329,124637,RnaseP,Clinical Sample,S1223497,Positive,45,356248.2,356248.1875,1,1,1
475374,124639,RnaseP,Clinical Sample,S1223506,Positive,45,312034.8,312034.8125,1,1,1
475419,124672,RnaseP,Clinical Sample,S1223513,Positive,45,289717.3,289717.3125,1,1,1
475464,124689,RnaseP,Clinical Sample,S1223521,Positive,45,313180.88,313180.875,1,1,1
475509,124691,RnaseP,Clinical Sample,S1223455,Positive,45,297690.97,297690.96875,1,1,1
475554,124693,RnaseP,Clinical Sample,S1223469,Positive,45,355996.75,355996.75,1,1,1
475599,124695,RnaseP,Clinical Sample,S1223478,Positive,45,370477.66,370477.65625,1,1,1
475644,124674,RnaseP,Clinical Sample,S1223442,Positive,45,370259.16,370259.15625,1,1,1
475689,124676,RnaseP,Clinical Sample,S1223445,Positive,45,356194.53,356194.53125,1,1,1
475734,124678,RnaseP,Clinical Sample,S1223453,Positive,45,350004.62,350004.625,1,1,1
475779,124680,RnaseP,Clinical Sample,S1222330,Positive,45,347688.56,347688.5625,1,1,1
475824,124682,RnaseP,Clinical Sample,S1223526,Positive,45,310937.28,310937.28125,1,1,1
475869,124685,RnaseP,Clinical Sample,S1223496,Positive,45,305953.12,305953.125,1,1,1
475914,124687,RnaseP,Clinical Sample,S1223499,Positive,45,277434.53,277434.53125,1,1,1
475959,124720,RnaseP,Clinical Sample,S1223514,Positive,45,266044.88,266044.875,1,1,1
476004,124737,RnaseP,Clinical Sample,S1223522,Positive,45,312987.94,312987.9375,1,1,1
476049,124739,RnaseP,Clinical Sample,S1223463,Positive,45,312568.94,312568.9375,1,1,1
476094,124741,RnaseP,Clinical Sample,S1223470,Positive,45,311264.1,311264.09375,1,1,1
476139,124743,RnaseP,Clinical Sample,S1223477,Positive,45,364983.62,364983.625,1,1,1
476184,124722,RnaseP,Clinical Sample,S1223441,Positive,45,407969.78,407969.78125,1,1,1
476229,124724,RnaseP,Clinical Sample,S1223446,Positive,45,399825.25,399825.25,1,1,1
476274,124726,RnaseP,Clinical Sample,S1223454,Positive,45,75678.45,75678.453125,1,1,1
476319,124728,RnaseP,Clinical Sample,S1222331,Positive,45,347966.78,347966.78125,1,1,1
476364,124735,RnaseP,Clinical Sample,S1223498,Positive,45,287608.1,287608.09375,1,1,1
476409,124768,RnaseP,Clinical Sample,S1223515,Positive,45,268370.9,268370.90625,1,1,1
476454,124785,RnaseP,Clinical Sample,S1223523,Positive,45,286648.56,286648.5625,1,1,1
476499,124787,RnaseP,Clinical Sample,S1223464,Positive,45,325326.38,325326.375,1,1,1
476544,124789,RnaseP,Clinical Sample,S1223471,Positive,45,300711.28,300711.28125,1,1,1
476589,124791,RnaseP,Clinical Sample,S1223476,Positive,45,354069.16,354069.15625,1,1,1
476634,124770,RnaseP,Clinical Sample,S1223440,Positive,45,331192.25,331192.25,1,1,1
476679,124772,RnaseP,Clinical Sample,S1223447,Positive,45,367234.0,367234.0,1,1,1
476724,124774,RnaseP,Clinical Sample,S1223462,Positive,45,347299.16,347299.15625,1,1,1
476769,124776,RnaseP,Clinical Sample,S1222332,Positive,45,266315.47,266315.46875,1,1,1
476814,124778,RnaseP,Clinical Sample,S1223527,Positive,45,311312.0,311312.0,1,1,1
476859,124783,RnaseP,Clinical Sample,S1222438,Negative,45,21388.717,21388.716796875,1,0,1
476904,100240,RnaseP,Clinical Sample,S1313560,Positive,45,328625.7,328625.6875,1,1,1
476949,100257,RnaseP,Clinical Sample,S1313583,Positive,45,104038.38,104038.3828125,1,1,1
476994,100259,RnaseP,Clinical Sample,S1313578,Positive,45,315710.3,315710.3125,1,1,1
477039,100261,RnaseP,Clinical Sample,S1313567,Positive,45,314620.47,314620.46875,1,1,1
477084,100288,RnaseP,Clinical Sample,S1313584,Positive,45,230477.39,230477.390625,1,1,1
477129,100305,RnaseP,Clinical Sample,S1313582,Positive,45,343548.28,343548.28125,1,1,1
477174,100307,RnaseP,Clinical Sample,S1313572,Positive,45,367138.7,367138.6875,1,1,1
477219,100309,RnaseP,Clinical Sample,S1313568,Positive,45,373509.06,373509.0625,1,1,1
477264,100336,RnaseP,Clinical Sample,S1313561,Positive,45,323275.53,323275.53125,1,1,1
477309,100353,RnaseP,Clinical Sample,S1313581,Positive,45,303606.5,303606.5,1,1,1
477354,100355,RnaseP,Clinical Sample,S1313571,Positive,45,260615.3,260615.296875,1,1,1
477399,100357,RnaseP,Clinical Sample,S1313566,Positive,45,380623.34,380623.34375,1,1,1
477444,100384,RnaseP,Clinical Sample,S1313585,Positive,45,306632.34,306632.34375,1,1,1
477489,100401,RnaseP,Clinical Sample,S1313579,Negative,45,26011.547,26011.546875,1,0,1
477534,100403,RnaseP,Clinical Sample,S1313574,Positive,45,345107.8,345107.8125,1,1,1
477579,100432,RnaseP,Clinical Sample,S1313586,Positive,45,299269.28,299269.28125,1,1,1
477624,100449,RnaseP,Clinical Sample,S1313580,Positive,45,316364.72,316364.71875,1,1,1
477669,100451,RnaseP,Clinical Sample,S1313573,Positive,45,277505.47,277505.46875,1,1,1
477714,100453,RnaseP,Clinical Sample,S1313565,Positive,45,300084.62,300084.625,1,1,1
477759,100480,RnaseP,Clinical Sample,S1313564,Positive,45,280639.12,280639.125,1,1,1
477804,100497,RnaseP,Clinical Sample,S1313575,Positive,45,322861.16,322861.15625,1,1,1
477849,100499,RnaseP,Clinical Sample,S1313570,Positive,45,251391.42,251391.421875,1,1,1
477894,100528,RnaseP,Clinical Sample,S1313562,Positive,45,284262.3,284262.3125,1,1,1
477939,100545,RnaseP,Clinical Sample,S1313576,Positive,45,322712.34,322712.34375,1,1,1
477984,100547,RnaseP,Clinical Sample,S1313569,Positive,45,380989.1,380989.09375,1,1,1
478029,100576,RnaseP,Clinical Sample,S1313563,Positive,45,245691.03,245691.03125,1,1,1
478074,100593,RnaseP,Clinical Sample,S1313577,Positive,45,188673.67,188673.671875,1,1,1
478119,100595,RnaseP,Clinical Sample,S1311542,Positive,45,187712.66,187712.65625,1,1,1
478164,126736,RnaseP,Clinical Sample,S1309598,Positive,45,114591.695,114591.6953125,1,1,1
478209,126753,RnaseP,Clinical Sample,S1309629,Positive,45,210562.34,210562.34375,1,1,1
478254,126755,RnaseP,Clinical Sample,S1309667,Positive,45,292208.66,292208.65625,1,1,1
478299,126757,RnaseP,Clinical Sample,S1309668,Negative,45,29141.256,29141.255859375,1,0,1
478344,126759,RnaseP,Clinical Sample,S1309647,Positive,45,143395.62,143395.625,1,1,1
478389,126738,RnaseP,Clinical Sample,S1309593,Negative,45,23474.902,23474.90234375,1,0,1
478434,126740,RnaseP,Clinical Sample,S1309614,Positive,45,336636.66,336636.65625,1,1,1
478479,126742,RnaseP,Clinical Sample,S1309595,Positive,45,286540.2,286540.1875,1,1,1
478524,126744,RnaseP,Clinical Sample,S1309651,Negative,45,60142.027,60142.02734375,1,0,1
478569,126746,RnaseP,Clinical Sample,S1309659,Positive,45,75074.65,75074.6484375,1,1,1
478614,126749,RnaseP,Clinical Sample,S1309612,Positive,45,164194.83,164194.828125,1,1,1
478659,126784,RnaseP,Clinical Sample,S1309599,Negative,45,27278.98,27278.98046875,1,0,1
478704,126801,RnaseP,Clinical Sample,S1309634,Positive,45,263540.3,263540.3125,1,1,1
478749,126803,RnaseP,Clinical Sample,S1309670,Positive,45,242056.5,242056.5,1,1,1
478794,126805,RnaseP,Clinical Sample,S1309662,Negative,45,29478.463,29478.462890625,1,0,1
478839,126807,RnaseP,Clinical Sample,S1309641,Negative,45,23762.697,23762.697265625,1,0,1
478884,126786,RnaseP,Clinical Sample,S1309594,Positive,45,329548.2,329548.1875,1,1,1
478929,126788,RnaseP,Clinical Sample,S1309609,Positive,45,137403.3,137403.296875,1,1,1
478974,126790,RnaseP,Clinical Sample,S1309604,Negative,45,27289.664,27289.6640625,1,0,1
479019,126792,RnaseP,Clinical Sample,S1309606,Positive,45,372681.72,372681.71875,1,1,1
479064,126794,RnaseP,Clinical Sample,S1309650,Positive,45,82981.41,82981.40625,1,1,1
479109,126797,RnaseP,Clinical Sample,S1309617,Negative,45,65982.91,65982.90625,1,0,1
479154,126832,RnaseP,Clinical Sample,S1309601,Positive,45,223737.02,223737.015625,1,1,1
479199,126849,RnaseP,Clinical Sample,S1309635,Positive,45,80888.44,80888.4375,1,1,1
